From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R
Slovakia;Croatia;232;45;0;0%;0%;0.4674%
Slovakia;Cyprus;232;92;2;0.8621%;2.174%;0.9555%
Slovakia;Czech;58;0;0;0%;nan%;0%
Slovakia;Denmark;232;378;13;5.603%;3.439%;3.926%
Slovakia;Estonia;232;293;22;9.483%;7.509%;3.043%
Slovakia;Finland;232;79;0;0%;0%;0.8205%
Slovakia;France;232;292;0;0%;0%;3.033%
Slovakia;Georgia;174;246;0;0%;0%;3.42%
Slovakia;Germany;232;498;12;5.172%;2.41%;5.172%
Slovakia;Greece;232;444;5;2.155%;1.126%;4.612%
Slovakia;Hungary;174;72;8;4.598%;11.11%;0.9775%
Slovakia;Iceland;232;366;10;4.31%;2.732%;3.801%
Slovakia;Ireland;232;190;8;3.448%;4.211%;1.973%
Slovakia;Israel;232;124;13;5.603%;10.48%;1.288%
Slovakia;Italy;116;290;5;4.31%;1.724%;5.882%
Slovakia;Latvia;232;0;0;0%;nan%;0%
Slovakia;Lithuania;232;156;0;0%;0%;1.62%
Slovakia;Luxembourg;0;0;0;nan%;nan%;nan%
Slovakia;Macedonia;232;71;1;0.431%;1.408%;0.7374%
Slovakia;Malta;232;72;0;0%;0%;0.7478%
Slovakia;Moldova;232;274;5;2.155%;1.825%;2.846%
Slovakia;Monaco;0;0;0;nan%;nan%;nan%
Slovakia;Montenegro;116;0;0;0%;nan%;0%
Slovakia;Morocco;0;0;0;nan%;nan%;nan%
Slovakia;Netherlands;232;0;0;0%;nan%;0%
Slovakia;Norway;232;429;13;5.603%;3.03%;4.456%
Slovakia;Poland;174;0;0;0%;nan%;0%
Slovakia;Portugal;232;100;2;0.8621%;2%;1.039%
Slovakia;Romania;232;350;1;0.431%;0.2857%;3.635%
Slovakia;Russia;232;517;9;3.879%;1.741%;5.37%
Slovakia;SanMarino;116;0;0;0%;nan%;0%
Slovakia;Serbia;232;371;7;3.017%;1.887%;3.853%
Slovakia;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Slovakia;Slovenia;232;96;1;0.431%;1.042%;0.9971%
Slovakia;Spain;232;238;2;0.8621%;0.8403%;2.472%
Slovakia;Sweden;232;590;22;9.483%;3.729%;6.128%
Slovakia;Switzerland;232;19;4;1.724%;21.05%;0.1973%
Slovakia;Turkey;232;459;0;0%;0%;4.767%
Slovakia;Ukraine;232;408;13;5.603%;3.186%;4.238%
Slovakia;UnitedKingdom;232;295;7;3.017%;2.373%;3.064%
Slovakia;Yugoslavia;0;0;0;nan%;nan%;nan%
Slovenia;Albania;1160;778;18;1.552%;2.314%;1.644%
Slovenia;Andorra;348;0;0;0%;nan%;0%
Slovenia;Armenia;986;1276;12;1.217%;0.9404%;3.147%
Slovenia;Australia;522;1263;20;3.831%;1.584%;5.791%
Slovenia;Austria;1044;1076;42;4.023%;3.903%;2.635%
Slovenia;Azerbaijan;928;1710;19;2.047%;1.111%;4.46%
Slovenia;Belarus;1160;368;0;0%;0%;0.7776%
Slovenia;Belgium;1276;1180;27;2.116%;2.288%;2.349%
Slovenia;BosniaHerzegovina;812;1041;90;11.08%;8.646%;3.445%
Slovenia;Bulgaria;870;1245;34;3.908%;2.731%;3.457%
Slovenia;Croatia;1218;626;86;7.061%;13.74%;1.329%
Slovenia;Cyprus;1218;1128;20;1.642%;1.773%;2.346%
Slovenia;Czech;696;479;23;3.305%;4.802%;1.642%
Slovenia;Denmark;1276;1551;70;5.486%;4.513%;3.099%
Slovenia;Estonia;1334;1062;24;1.799%;2.26%;2.06%
Slovenia;Finland;1218;614;8;0.6568%;1.303%;1.26%
Slovenia;France;1334;1369;24;1.799%;1.753%;2.655%
Slovenia;Georgia;928;631;3;0.3233%;0.4754%;1.646%
Slovenia;Germany;1334;1268;28;2.099%;2.208%;2.459%
Slovenia;Greece;1334;1971;26;1.949%;1.319%;3.823%
Slovenia;Hungary;986;944;16;1.623%;1.695%;2.315%
Slovenia;Iceland;1276;867;24;1.881%;2.768%;1.728%
Slovenia;Ireland;1276;495;3;0.2351%;0.6061%;0.9866%
Slovenia;Israel;1334;1320;12;0.8996%;0.9091%;2.56%
Slovenia;Italy;754;1979;63;8.355%;3.183%;6.354%
Slovenia;Latvia;1334;830;32;2.399%;3.855%;1.61%
Slovenia;Lithuania;1276;821;5;0.3918%;0.609%;1.64%
Slovenia;Luxembourg;0;0;0;nan%;nan%;nan%
Slovenia;Macedonia;1218;629;48;3.941%;7.631%;1.291%
Slovenia;Malta;1334;943;12;0.8996%;1.273%;1.829%
Slovenia;Moldova;1102;1207;14;1.27%;1.16%;2.668%
Slovenia;Monaco;174;0;0;0%;nan%;0%
Slovenia;Montenegro;870;81;17;1.954%;20.99%;0.2249%
Slovenia;Morocco;0;0;0;nan%;nan%;nan%
Slovenia;Netherlands;1276;1346;41;3.213%;3.046%;2.683%
Slovenia;Norway;1276;1915;46;3.605%;2.402%;3.817%
Slovenia;Poland;1160;507;12;1.034%;2.367%;1.115%
Slovenia;Portugal;1102;997;20;1.815%;2.006%;2.317%
Slovenia;Romania;1160;1425;14;1.207%;0.9825%;3.142%
Slovenia;Russia;1218;3051;59;4.844%;1.934%;6.535%
Slovenia;SanMarino;812;91;0;0%;0%;0.2705%
Slovenia;Serbia;928;1169;99;10.67%;8.469%;3.026%
Slovenia;Serbia&Montenegro;174;400;22;12.64%;5.5%;6.103%
Slovenia;Slovakia;232;0;0;0%;nan%;0%
Slovenia;Spain;1334;1001;13;0.9745%;1.299%;1.941%
Slovenia;Sweden;1334;3195;93;6.972%;2.911%;6.196%
Slovenia;Switzerland;1218;620;19;1.56%;3.065%;1.273%
Slovenia;Turkey;696;1375;12;1.724%;0.8727%;5.425%
Slovenia;Ukraine;1044;2385;41;3.927%;1.719%;5.711%
Slovenia;UnitedKingdom;1334;839;23;1.724%;2.741%;1.627%
Slovenia;Yugoslavia;0;0;0;nan%;nan%;nan%
Spain;Albania;1160;778;0;0%;0%;1.644%
Spain;Andorra;348;0;0;0%;nan%;0%
Spain;Armenia;986;1276;60;6.085%;4.702%;3.147%
Spain;Australia;522;1263;42;8.046%;3.325%;5.791%
Spain;Austria;1102;1110;41;3.721%;3.694%;2.629%
Spain;Azerbaijan;928;1710;24;2.586%;1.404%;4.46%
Spain;Belarus;1160;368;0;0%;0%;0.7776%
Spain;Belgium;1334;1182;27;2.024%;2.284%;2.29%
Spain;BosniaHerzegovina;812;1041;4;0.4926%;0.3842%;3.445%
Spain;Bulgaria;870;1245;43;4.943%;3.454%;3.457%
Spain;Croatia;1276;696;2;0.1567%;0.2874%;1.435%
Spain;Cyprus;1276;1136;39;3.056%;3.433%;2.296%
Spain;Czech;696;479;20;2.874%;4.175%;1.642%
Spain;Denmark;1334;1746;42;3.148%;2.405%;3.394%
Spain;Estonia;1392;1160;20;1.437%;1.724%;2.191%
Spain;Finland;1276;632;10;0.7837%;1.582%;1.261%
Spain;France;1392;1374;64;4.598%;4.658%;2.595%
Spain;Georgia;928;631;1;0.1078%;0.1585%;1.646%
Spain;Germany;1392;1364;84;6.034%;6.158%;2.576%
Spain;Greece;1334;1971;40;2.999%;2.029%;3.823%
Spain;Hungary;986;944;23;2.333%;2.436%;2.315%
Spain;Iceland;1334;912;14;1.049%;1.535%;1.769%
Spain;Ireland;1334;587;16;1.199%;2.726%;1.138%
Spain;Israel;1392;1327;31;2.227%;2.336%;2.506%
Spain;Italy;754;1979;89;11.8%;4.497%;6.354%
Spain;Latvia;1392;966;25;1.796%;2.588%;1.824%
Spain;Lithuania;1276;821;5;0.3918%;0.609%;1.64%
Spain;Luxembourg;0;0;0;nan%;nan%;nan%
Spain;Macedonia;1276;658;0;0%;0%;1.313%
Spain;Malta;1392;1016;29;2.083%;2.854%;1.919%
Spain;Moldova;1102;1207;39;3.539%;3.231%;2.668%
Spain;Monaco;174;0;0;0%;nan%;0%
Spain;Montenegro;870;81;0;0%;0%;0.2249%
Spain;Morocco;0;0;0;nan%;nan%;nan%
Spain;Netherlands;1334;1386;33;2.474%;2.381%;2.688%
Spain;Norway;1334;1972;38;2.849%;1.927%;3.825%
Spain;Poland;1160;507;11;0.9483%;2.17%;1.115%
Spain;Portugal;1102;997;54;4.9%;5.416%;2.317%
Spain;Romania;1218;1450;128;10.51%;8.828%;3.102%
Spain;Russia;1276;3206;67;5.251%;2.09%;6.668%
Spain;SanMarino;812;91;0;0%;0%;0.2705%
Spain;Serbia;928;1169;5;0.5388%;0.4277%;3.026%
Spain;Serbia&Montenegro;174;400;6;3.448%;1.5%;6.103%
Spain;Slovakia;232;0;0;0%;nan%;0%
Spain;Slovenia;1334;489;13;0.9745%;2.658%;0.9484%
Spain;Sweden;1392;3283;98;7.04%;2.985%;6.2%
Spain;Switzerland;1276;634;13;1.019%;2.05%;1.265%
Spain;Turkey;754;1434;14;1.857%;0.9763%;5.363%
Spain;Ukraine;1044;2385;57;5.46%;2.39%;5.711%
Spain;UnitedKingdom;1392;867;21;1.509%;2.422%;1.637%
Spain;Yugoslavia;0;0;0;nan%;nan%;nan%
Sweden;Albania;1160;778;9;0.7759%;1.157%;1.644%
Sweden;Andorra;348;0;0;0%;nan%;0%
Sweden;Armenia;986;1276;15;1.521%;1.176%;3.147%
Sweden;Australia;522;1263;65;12.45%;5.146%;5.791%
Sweden;Austria;1102;1110;43;3.902%;3.874%;2.629%
Sweden;Azerbaijan;928;1710;29;3.125%;1.696%;4.46%
Sweden;Belarus;1160;368;0;0%;0%;0.7776%
Sweden;Belgium;1334;1182;35;2.624%;2.961%;2.29%
Sweden;BosniaHerzegovina;812;1041;64;7.882%;6.148%;3.445%
Sweden;Bulgaria;870;1245;24;2.759%;1.928%;3.457%
Sweden;Croatia;1276;696;2;0.1567%;0.2874%;1.435%
Sweden;Cyprus;1276;1136;47;3.683%;4.137%;2.296%
Sweden;Czech;696;479;7;1.006%;1.461%;1.642%
Sweden;Denmark;1334;1746;105;7.871%;6.014%;3.394%
Sweden;Estonia;1392;1160;54;3.879%;4.655%;2.191%
Sweden;Finland;1276;632;69;5.408%;10.92%;1.261%
Sweden;France;1392;1374;37;2.658%;2.693%;2.595%
Sweden;Georgia;928;631;6;0.6466%;0.9509%;1.646%
Sweden;Germany;1392;1364;35;2.514%;2.566%;2.576%
Sweden;Greece;1334;1971;39;2.924%;1.979%;3.823%
Sweden;Hungary;986;944;27;2.738%;2.86%;2.315%
Sweden;Iceland;1334;912;52;3.898%;5.702%;1.769%
Sweden;Ireland;1334;587;32;2.399%;5.451%;1.138%
Sweden;Israel;1392;1327;22;1.58%;1.658%;2.506%
Sweden;Italy;754;1979;27;3.581%;1.364%;6.354%
Sweden;Latvia;1392;966;26;1.868%;2.692%;1.824%
Sweden;Lithuania;1276;821;19;1.489%;2.314%;1.64%
Sweden;Luxembourg;0;0;0;nan%;nan%;nan%
Sweden;Macedonia;1276;658;2;0.1567%;0.304%;1.313%
Sweden;Malta;1392;1016;25;1.796%;2.461%;1.919%
Sweden;Moldova;1102;1207;18;1.633%;1.491%;2.668%
Sweden;Monaco;174;0;0;0%;nan%;0%
Sweden;Montenegro;870;81;2;0.2299%;2.469%;0.2249%
Sweden;Morocco;0;0;0;nan%;nan%;nan%
Sweden;Netherlands;1334;1386;52;3.898%;3.752%;2.688%
Sweden;Norway;1334;1972;117;8.771%;5.933%;3.825%
Sweden;Poland;1160;507;23;1.983%;4.536%;1.115%
Sweden;Portugal;1102;997;22;1.996%;2.207%;2.317%
Sweden;Romania;1218;1450;26;2.135%;1.793%;3.102%
Sweden;Russia;1276;3206;54;4.232%;1.684%;6.668%
Sweden;SanMarino;812;91;0;0%;0%;0.2705%
Sweden;Serbia;928;1169;33;3.556%;2.823%;3.026%
Sweden;Serbia&Montenegro;174;400;16;9.195%;4%;6.103%
Sweden;Slovakia;232;0;0;0%;nan%;0%
Sweden;Slovenia;1334;489;8;0.5997%;1.636%;0.9484%
Sweden;Spain;1392;1019;22;1.58%;2.159%;1.924%
Sweden;Switzerland;1276;634;16;1.254%;2.524%;1.265%
Sweden;Turkey;754;1434;38;5.04%;2.65%;5.363%
Sweden;Ukraine;1044;2385;23;2.203%;0.9644%;5.711%
Sweden;UnitedKingdom;1392;867;5;0.3592%;0.5767%;1.637%
Sweden;Yugoslavia;0;0;0;nan%;nan%;nan%
Switzerland;Albania;1160;778;68;5.862%;8.74%;1.644%
Switzerland;Andorra;348;0;0;0%;nan%;0%
Switzerland;Armenia;986;1276;0;0%;0%;3.147%
Switzerland;Australia;522;1263;29;5.556%;2.296%;5.791%
Switzerland;Austria;1044;1009;52;4.981%;5.154%;2.478%
Switzerland;Azerbaijan;928;1710;9;0.9698%;0.5263%;4.46%
Switzerland;Belarus;1160;368;0;0%;0%;0.7776%
Switzerland;Belgium;1276;1017;32;2.508%;3.147%;2.029%
Switzerland;BosniaHerzegovina;696;985;54;7.759%;5.482%;3.598%
Switzerland;Bulgaria;870;1245;17;1.954%;1.365%;3.457%
Switzerland;Croatia;1160;625;39;3.362%;6.24%;1.369%
Switzerland;Cyprus;1218;1121;12;0.9852%;1.07%;2.337%
Switzerland;Czech;696;479;0;0%;0%;1.642%
Switzerland;Denmark;1276;1569;19;1.489%;1.211%;3.131%
Switzerland;Estonia;1276;948;10;0.7837%;1.055%;1.892%
Switzerland;Finland;1276;632;18;1.411%;2.848%;1.261%
Switzerland;France;1276;1213;34;2.665%;2.803%;2.421%
Switzerland;Georgia;928;631;1;0.1078%;0.1585%;1.646%
Switzerland;Germany;1276;1245;108;8.464%;8.675%;2.484%
Switzerland;Greece;1218;1799;37;3.038%;2.057%;3.693%
Switzerland;Hungary;986;944;22;2.231%;2.331%;2.315%
Switzerland;Iceland;1218;828;20;1.642%;2.415%;1.7%
Switzerland;Ireland;1218;528;23;1.888%;4.356%;1.084%
Switzerland;Israel;1276;1285;21;1.646%;1.634%;2.564%
Switzerland;Italy;754;1979;75;9.947%;3.79%;6.354%
Switzerland;Latvia;1276;950;22;1.724%;2.316%;1.896%
Switzerland;Lithuania;1218;786;15;1.232%;1.908%;1.613%
Switzerland;Luxembourg;0;0;0;nan%;nan%;nan%
Switzerland;Macedonia;1276;658;27;2.116%;4.103%;1.313%
Switzerland;Malta;1276;964;7;0.5486%;0.7261%;1.924%
Switzerland;Moldova;1102;1207;2;0.1815%;0.1657%;2.668%
Switzerland;Monaco;174;0;0;0%;nan%;0%
Switzerland;Montenegro;870;81;0;0%;0%;0.2249%
Switzerland;Morocco;0;0;0;nan%;nan%;nan%
Switzerland;Netherlands;1218;1325;42;3.448%;3.17%;2.72%
Switzerland;Norway;1218;1846;50;4.105%;2.709%;3.789%
Switzerland;Poland;1044;406;5;0.4789%;1.232%;0.9524%
Switzerland;Portugal;986;966;62;6.288%;6.418%;2.403%
Switzerland;Romania;1160;1377;9;0.7759%;0.6536%;3.044%
Switzerland;Russia;1160;3005;18;1.552%;0.599%;6.642%
Switzerland;SanMarino;812;91;0;0%;0%;0.2705%
Switzerland;Serbia;928;1169;86;9.267%;7.357%;3.026%
Switzerland;Serbia&Montenegro;174;400;24;13.79%;6%;6.103%
Switzerland;Slovakia;232;0;0;0%;nan%;0%
Switzerland;Slovenia;1218;412;2;0.1642%;0.4854%;0.8456%
Switzerland;Spain;1276;862;63;4.937%;7.309%;1.72%
Switzerland;Sweden;1276;3076;58;4.545%;1.886%;6.138%
Switzerland;Turkey;638;1226;63;9.875%;5.139%;5.131%
Switzerland;Ukraine;986;2355;12;1.217%;0.5096%;5.851%
Switzerland;UnitedKingdom;1276;839;9;0.7053%;1.073%;1.674%
Switzerland;Yugoslavia;0;0;0;nan%;nan%;nan%
Turkey;Albania;522;470;31;5.939%;6.596%;2.226%
Turkey;Andorra;348;0;0;0%;nan%;0%
Turkey;Armenia;348;699;44;12.64%;6.295%;4.879%
Turkey;Australia;0;0;0;nan%;nan%;nan%
Turkey;Austria;464;234;23;4.957%;9.829%;1.462%
Turkey;Azerbaijan;290;855;60;20.69%;7.018%;7.053%
Turkey;Belarus;522;163;0;0%;0%;0.7721%
Turkey;Belgium;696;350;17;2.443%;4.857%;1.378%
Turkey;BosniaHerzegovina;696;1041;93;13.36%;8.934%;4.107%
Turkey;Bulgaria;464;157;6;1.293%;3.822%;0.8253%
Turkey;Croatia;754;495;23;3.05%;4.646%;1.851%
Turkey;Cyprus;696;416;1;0.1437%;0.2404%;1.638%
Turkey;Czech;174;0;0;0%;nan%;0%
Turkey;Denmark;696;968;6;0.8621%;0.6198%;3.837%
Turkey;Estonia;754;714;22;2.918%;3.081%;2.67%
Turkey;Finland;638;501;7;1.097%;1.397%;2.097%
Turkey;France;754;684;1;0.1326%;0.1462%;2.558%
Turkey;Georgia;290;426;22;7.586%;5.164%;3.514%
Turkey;Germany;754;926;25;3.316%;2.7%;3.463%
Turkey;Greece;696;1610;52;7.471%;3.23%;6.352%
Turkey;Hungary;348;297;7;2.011%;2.357%;2.04%
Turkey;Iceland;696;575;10;1.437%;1.739%;2.269%
Turkey;Ireland;696;446;12;1.724%;2.691%;1.76%
Turkey;Israel;754;492;10;1.326%;2.033%;1.84%
Turkey;Italy;116;290;0;0%;0%;5.882%
Turkey;Latvia;754;648;6;0.7958%;0.9259%;2.424%
Turkey;Lithuania;638;393;0;0%;0%;1.649%
Turkey;Luxembourg;0;0;0;nan%;nan%;nan%
Turkey;Macedonia;638;353;24;3.762%;6.799%;1.477%
Turkey;Malta;754;604;22;2.918%;3.642%;2.259%
Turkey;Moldova;464;553;22;4.741%;3.978%;2.907%
Turkey;Monaco;174;0;0;0%;nan%;0%
Turkey;Montenegro;232;0;0;0%;nan%;0%
Turkey;Morocco;0;0;0;nan%;nan%;nan%
Turkey;Netherlands;696;112;3;0.431%;2.679%;0.4419%
Turkey;Norway;696;958;15;2.155%;1.566%;3.78%
Turkey;Poland;580;142;0;0%;0%;0.6599%
Turkey;Portugal;638;200;0;0%;0%;0.8349%
Turkey;Romania;696;996;33;4.741%;3.313%;3.921%
Turkey;Russia;754;1779;43;5.703%;2.417%;6.653%
Turkey;SanMarino;174;0;0;0%;nan%;0%
Turkey;Serbia;348;799;0;0%;0%;5.488%
Turkey;Serbia&Montenegro;174;400;8;4.598%;2%;6.103%
Turkey;Slovakia;232;0;0;0%;nan%;0%
Turkey;Slovenia;696;272;2;0.2874%;0.7353%;1.073%
Turkey;Spain;754;725;13;1.724%;1.793%;2.711%
Turkey;Sweden;754;1425;37;4.907%;2.596%;5.329%
Turkey;Switzerland;638;206;0;0%;0%;0.8621%
Turkey;Ukraine;580;1358;39;6.724%;2.872%;6.004%
Turkey;UnitedKingdom;754;567;15;1.989%;2.646%;2.121%
Turkey;Yugoslavia;0;0;0;nan%;nan%;nan%
Ukraine;Albania;986;654;0;0%;0%;1.625%
Ukraine;Andorra;348;0;0;0%;nan%;0%
Ukraine;Armenia;812;1242;51;6.281%;4.106%;3.711%
Ukraine;Australia;348;783;13;3.736%;1.66%;5.315%
Ukraine;Austria;812;1050;15;1.847%;1.429%;3.244%
Ukraine;Azerbaijan;754;1359;88;11.67%;6.475%;4.347%
Ukraine;Belarus;986;337;50;5.071%;14.84%;0.8372%
Ukraine;Belgium;1044;930;27;2.586%;2.903%;2.227%
Ukraine;BosniaHerzegovina;696;979;10;1.437%;1.021%;3.561%
Ukraine;Bulgaria;870;1245;8;0.9195%;0.6426%;3.457%
Ukraine;Croatia;986;540;23;2.333%;4.259%;1.363%
Ukraine;Cyprus;986;923;8;0.8114%;0.8667%;2.33%
Ukraine;Czech;522;322;14;2.682%;4.348%;1.457%
Ukraine;Denmark;986;1247;21;2.13%;1.684%;3.098%
Ukraine;Estonia;1044;571;11;1.054%;1.926%;1.367%
Ukraine;Finland;986;590;7;0.7099%;1.186%;1.466%
Ukraine;France;1044;1014;38;3.64%;3.748%;2.428%
Ukraine;Georgia;754;580;51;6.764%;8.793%;1.855%
Ukraine;Germany;1044;1161;10;0.9579%;0.8613%;2.78%
Ukraine;Greece;1044;1700;21;2.011%;1.235%;4.071%
Ukraine;Hungary;812;925;24;2.956%;2.595%;2.745%
Ukraine;Iceland;1044;632;4;0.3831%;0.6329%;1.513%
Ukraine;Ireland;1044;489;3;0.2874%;0.6135%;1.171%
Ukraine;Israel;1044;1126;44;4.215%;3.908%;2.696%
Ukraine;Italy;580;1215;9;1.552%;0.7407%;5.048%
Ukraine;Latvia;1044;452;18;1.724%;3.982%;1.082%
Ukraine;Lithuania;986;744;23;2.333%;3.091%;1.848%
Ukraine;Luxembourg;0;0;0;nan%;nan%;nan%
Ukraine;Macedonia;986;299;6;0.6085%;2.007%;0.7428%
Ukraine;Malta;1044;624;20;1.916%;3.205%;1.494%
Ukraine;Moldova;928;1207;71;7.651%;5.882%;3.163%
Ukraine;Monaco;174;0;0;0%;nan%;0%
Ukraine;Montenegro;696;37;0;0%;0%;0.1278%
Ukraine;Morocco;0;0;0;nan%;nan%;nan%
Ukraine;Netherlands;1044;832;11;1.054%;1.322%;1.992%
Ukraine;Norway;1044;1479;38;3.64%;2.569%;3.542%
Ukraine;Poland;928;486;28;3.017%;5.761%;1.311%
Ukraine;Portugal;870;979;26;2.989%;2.656%;2.827%
Ukraine;Romania;928;1319;14;1.509%;1.061%;3.576%
Ukraine;Russia;928;2286;116;12.5%;5.074%;6.197%
Ukraine;SanMarino;638;14;0;0%;0%;0.0527%
Ukraine;Serbia;754;1027;8;1.061%;0.779%;3.255%
Ukraine;Serbia&Montenegro;174;400;15;8.621%;3.75%;6.103%
Ukraine;Slovakia;232;0;0;0%;nan%;0%
Ukraine;Slovenia;1044;242;9;0.8621%;3.719%;0.5795%
Ukraine;Spain;1044;775;6;0.5747%;0.7742%;1.856%
Ukraine;Sweden;1044;2324;50;4.789%;2.151%;5.565%
Ukraine;Switzerland;986;241;5;0.5071%;2.075%;0.5987%
Ukraine;Turkey;580;1305;21;3.621%;1.609%;5.769%
Ukraine;UnitedKingdom;1044;684;9;0.8621%;1.316%;1.638%
Ukraine;Yugoslavia;0;0;0;nan%;nan%;nan%
UnitedKingdom;Albania;1160;778;9;0.7759%;1.157%;1.644%
UnitedKingdom;Andorra;348;0;0;0%;nan%;0%
UnitedKingdom;Armenia;986;1276;0;0%;0%;3.147%
UnitedKingdom;Australia;522;1263;53;10.15%;4.196%;5.791%
UnitedKingdom;Austria;1102;1110;38;3.448%;3.423%;2.629%
UnitedKingdom;Azerbaijan;928;1710;15;1.616%;0.8772%;4.46%
UnitedKingdom;Belarus;1160;368;1;0.08621%;0.2717%;0.7776%
UnitedKingdom;Belgium;1334;1182;23;1.724%;1.946%;2.29%
UnitedKingdom;BosniaHerzegovina;812;1041;4;0.4926%;0.3842%;3.445%
UnitedKingdom;Bulgaria;870;1245;51;5.862%;4.096%;3.457%
UnitedKingdom;Croatia;1276;696;6;0.4702%;0.8621%;1.435%
UnitedKingdom;Cyprus;1276;1136;34;2.665%;2.993%;2.296%
UnitedKingdom;Czech;696;479;6;0.8621%;1.253%;1.642%
UnitedKingdom;Denmark;1334;1746;72;5.397%;4.124%;3.394%
UnitedKingdom;Estonia;1392;1160;36;2.586%;3.103%;2.191%
UnitedKingdom;Finland;1276;632;22;1.724%;3.481%;1.261%
UnitedKingdom;France;1392;1374;29;2.083%;2.111%;2.595%
UnitedKingdom;Georgia;928;631;12;1.293%;1.902%;1.646%
UnitedKingdom;Germany;1392;1364;41;2.945%;3.006%;2.576%
UnitedKingdom;Greece;1334;1971;87;6.522%;4.414%;3.823%
UnitedKingdom;Hungary;986;944;3;0.3043%;0.3178%;2.315%
UnitedKingdom;Iceland;1334;912;32;2.399%;3.509%;1.769%
UnitedKingdom;Ireland;1334;587;85;6.372%;14.48%;1.138%
UnitedKingdom;Israel;1392;1327;40;2.874%;3.014%;2.506%
UnitedKingdom;Italy;754;1979;17;2.255%;0.859%;6.354%
UnitedKingdom;Latvia;1392;966;47;3.376%;4.865%;1.824%
UnitedKingdom;Lithuania;1276;821;66;5.172%;8.039%;1.64%
UnitedKingdom;Luxembourg;0;0;0;nan%;nan%;nan%
UnitedKingdom;Macedonia;1276;658;12;0.9404%;1.824%;1.313%
UnitedKingdom;Malta;1392;1016;55;3.951%;5.413%;1.919%
UnitedKingdom;Moldova;1102;1207;26;2.359%;2.154%;2.668%
UnitedKingdom;Monaco;174;0;0;0%;nan%;0%
UnitedKingdom;Montenegro;870;81;0;0%;0%;0.2249%
UnitedKingdom;Morocco;0;0;0;nan%;nan%;nan%
UnitedKingdom;Netherlands;1334;1386;29;2.174%;2.092%;2.688%
UnitedKingdom;Norway;1334;1972;48;3.598%;2.434%;3.825%
UnitedKingdom;Poland;1160;507;28;2.414%;5.523%;1.115%
UnitedKingdom;Portugal;1102;997;20;1.815%;2.006%;2.317%
UnitedKingdom;Romania;1218;1450;25;2.053%;1.724%;3.102%
UnitedKingdom;Russia;1276;3206;45;3.527%;1.404%;6.668%
UnitedKingdom;SanMarino;812;91;0;0%;0%;0.2705%
UnitedKingdom;Serbia;928;1169;3;0.3233%;0.2566%;3.026%
UnitedKingdom;Serbia&Montenegro;174;400;3;1.724%;0.75%;6.103%
UnitedKingdom;Slovakia;232;0;0;0%;nan%;0%
UnitedKingdom;Slovenia;1334;489;6;0.4498%;1.227%;0.9484%
UnitedKingdom;Spain;1392;1019;27;1.94%;2.65%;1.924%
UnitedKingdom;Sweden;1392;3283;108;7.759%;3.29%;6.2%
UnitedKingdom;Switzerland;1276;634;23;1.803%;3.628%;1.265%
UnitedKingdom;Turkey;754;1434;60;7.958%;4.184%;5.363%
UnitedKingdom;Ukraine;1044;2385;45;4.31%;1.887%;5.711%
UnitedKingdom;Yugoslavia;0;0;0;nan%;nan%;nan%
Yugoslavia;Albania;0;0;0;nan%;nan%;nan%
Yugoslavia;Andorra;0;0;0;nan%;nan%;nan%
Yugoslavia;Armenia;0;0;0;nan%;nan%;nan%
Yugoslavia;Australia;0;0;0;nan%;nan%;nan%
Yugoslavia;Austria;0;0;0;nan%;nan%;nan%
Yugoslavia;Azerbaijan;0;0;0;nan%;nan%;nan%
Yugoslavia;Belarus;0;0;0;nan%;nan%;nan%
Yugoslavia;Belgium;0;0;0;nan%;nan%;nan%
Yugoslavia;BosniaHerzegovina;0;0;0;nan%;nan%;nan%
Yugoslavia;Bulgaria;0;0;0;nan%;nan%;nan%
Yugoslavia;Croatia;0;0;0;nan%;nan%;nan%
Yugoslavia;Cyprus;0;0;0;nan%;nan%;nan%
Yugoslavia;Czech;0;0;0;nan%;nan%;nan%
Yugoslavia;Denmark;0;0;0;nan%;nan%;nan%
Yugoslavia;Estonia;0;0;0;nan%;nan%;nan%
Yugoslavia;Finland;0;0;0;nan%;nan%;nan%
Yugoslavia;France;0;0;0;nan%;nan%;nan%
Yugoslavia;Georgia;0;0;0;nan%;nan%;nan%
Yugoslavia;Germany;0;0;0;nan%;nan%;nan%
Yugoslavia;Greece;0;0;0;nan%;nan%;nan%
Yugoslavia;Hungary;0;0;0;nan%;nan%;nan%
Yugoslavia;Iceland;0;0;0;nan%;nan%;nan%
Yugoslavia;Ireland;0;0;0;nan%;nan%;nan%
Yugoslavia;Israel;0;0;0;nan%;nan%;nan%
Yugoslavia;Italy;0;0;0;nan%;nan%;nan%
Yugoslavia;Latvia;0;0;0;nan%;nan%;nan%
Yugoslavia;Lithuania;0;0;0;nan%;nan%;nan%
Yugoslavia;Luxembourg;0;0;0;nan%;nan%;nan%
Yugoslavia;Macedonia;0;0;0;nan%;nan%;nan%
Yugoslavia;Malta;0;0;0;nan%;nan%;nan%
Yugoslavia;Moldova;0;0;0;nan%;nan%;nan%
Yugoslavia;Monaco;0;0;0;nan%;nan%;nan%
Yugoslavia;Montenegro;0;0;0;nan%;nan%;nan%
