From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R;% of given from L - % of gotten from all
Macedonia;Norway;1218;1846;23;1,89%;1,25%;3,79%;-1,90%
Cyprus;Norway;1218;1881;23;1,89%;1,22%;3,91%;-2,02%
Serbia&Montenegro;Norway;174;164;2;1,15%;1,22%;2,50%;-1,35%
Albania;Norway;1160;1789;21;1,81%;1,17%;3,78%;-1,97%
Czech;Norway;696;1304;13;1,87%;1,00%;4,47%;-2,60%
Monaco;Norway;174;164;1;0,57%;0,61%;2,50%;-1,93%
Bulgaria;Norway;870;1265;5;0,57%;0,40%;3,51%;-2,94%
Luxembourg;Norway;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Norway;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Norway;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Germany;Poland;1160;507;43;3,71%;8,48%;1,12%;2,59%
Italy;Poland;638;365;22;3,45%;6,03%;1,38%;2,07%
Ukraine;Poland;928;486;28;3,02%;5,76%;1,31%;1,71%
Ireland;Poland;1160;507;30;2,59%;5,92%;1,12%;1,47%
Austria;Poland;870;482;24;2,76%;4,98%;1,39%;1,37%
UnitedKingdom;Poland;1160;507;28;2,41%;5,52%;1,12%;1,30%
Sweden;Poland;1160;507;23;1,98%;4,54%;1,12%;0,87%
France;Poland;1160;507;22;1,90%;4,34%;1,12%;0,78%
Belgium;Poland;1102;496;21;1,91%;4,23%;1,12%;0,78%
Bulgaria;Poland;754;307;13;1,72%;4,24%;0,98%;0,74%
Norway;Poland;1160;507;20;1,72%;3,95%;1,12%;0,61%
Iceland;Poland;1160;507;19;1,64%;3,75%;1,12%;0,52%
Lithuania;Poland;1102;417;16;1,45%;3,84%;0,95%;0,50%
Belarus;Poland;1044;406;15;1,44%;3,70%;0,95%;0,48%
Azerbaijan;Poland;812;379;13;1,60%;3,43%;1,13%;0,47%
Hungary;Poland;870;379;11;1,26%;2,90%;1,05%;0,21%
Netherlands;Poland;1160;507;15;1,29%;2,96%;1,12%;0,18%
Greece;Poland;1160;507;14;1,21%;2,76%;1,12%;0,09%
Czech;Poland;696;317;8;1,15%;2,52%;1,09%;0,06%
Latvia;Poland;1160;507;13;1,12%;2,56%;1,12%;0,01%
Luxembourg;Poland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Poland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Poland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Poland;174;0;0;0,00%;-1,00%;0,00%;0,00%
Slovenia;Poland;1160;507;12;1,03%;2,37%;1,12%;-0,08%
SanMarino;Poland;696;379;8;1,15%;2,11%;1,31%;-0,16%
Spain;Poland;1160;507;11;0,95%;2,17%;1,12%;-0,17%
Malta;Poland;1160;507;10;0,86%;1,97%;1,12%;-0,25%
Romania;Poland;986;267;4;0,41%;1,50%;0,68%;-0,27%
Macedonia;Poland;1044;406;7;0,67%;1,72%;0,95%;-0,28%
Andorra;Poland;348;41;0;0,00%;0,00%;0,29%;-0,29%
Denmark;Poland;1102;417;6;0,54%;1,44%;0,95%;-0,40%
Monaco;Poland;174;27;0;0,00%;0,00%;0,41%;-0,41%
Serbia&Montenegro;Poland;174;27;0;0,00%;0,00%;0,41%;-0,41%
Albania;Poland;1044;406;5;0,48%;1,23%;0,95%;-0,47%
Finland;Poland;1044;406;5;0,48%;1,23%;0,95%;-0,47%
Switzerland;Poland;1044;406;5;0,48%;1,23%;0,95%;-0,47%
Montenegro;Poland;754;379;5;0,66%;1,32%;1,21%;-0,55%
Russia;Poland;1044;443;5;0,48%;1,13%;1,09%;-0,61%
Georgia;Poland;812;379;4;0,49%;1,06%;1,13%;-0,63%
Cyprus;Poland;1044;434;4;0,38%;0,92%;1,03%;-0,65%
Turkey;Poland;580;142;0;0,00%;0,00%;0,66%;-0,66%
Croatia;Poland;1044;435;4;0,38%;0,92%;1,06%;-0,68%
Estonia;Poland;1160;507;5;0,43%;0,99%;1,12%;-0,68%
Portugal;Poland;1044;278;0;0,00%;0,00%;0,68%;-0,68%
Moldova;Poland;986;379;2;0,20%;0,53%;0,93%;-0,73%
Israel;Poland;1160;507;4;0,34%;0,79%;1,12%;-0,77%
Armenia;Poland;928;379;1;0,11%;0,26%;0,99%;-0,88%
Serbia;Poland;812;317;0;0,00%;0,00%;0,93%;-0,93%
Australia;Poland;522;303;2;0,38%;0,66%;1,39%;-1,01%
BosniaHerzegovina;Poland;696;371;0;0,00%;0,00%;1,41%;-1,41%
Andorra;Portugal;348;126;16;4,60%;12,70%;0,91%;3,69%
France;Portugal;1102;997;73;6,62%;7,32%;2,32%;4,31%
Switzerland;Portugal;986;966;62;6,29%;6,42%;2,40%;3,89%
Spain;Portugal;1102;997;54;4,90%;5,42%;2,32%;2,58%
Iceland;Portugal;1102;997;38;3,45%;3,81%;2,32%;1,13%
Belgium;Portugal;1044;979;32;3,07%;3,27%;2,35%;0,72%
Germany;Portugal;1102;997;32;2,90%;3,21%;2,32%;0,59%
Lithuania;Portugal;1044;984;31;2,97%;3,15%;2,37%;0,60%
Netherlands;Portugal;1102;997;31;2,81%;3,11%;2,32%;0,50%
Czech;Portugal;580;923;27;4,66%;2,93%;3,80%;0,86%
Latvia;Portugal;1102;997;28;2,54%;2,81%;2,32%;0,22%
SanMarino;Portugal;638;866;24;3,76%;2,77%;3,27%;0,50%
Armenia;Portugal;812;966;26;3,20%;2,69%;2,89%;0,31%
Ukraine;Portugal;870;979;26;2,99%;2,66%;2,83%;0,16%
Austria;Portugal;812;810;20;2,46%;2,47%;2,51%;-0,04%
Estonia;Portugal;1102;997;24;2,18%;2,41%;2,32%;-0,14%
Israel;Portugal;1102;997;24;2,18%;2,41%;2,32%;-0,14%
Serbia;Portugal;754;966;23;3,05%;2,38%;3,07%;-0,02%
Ireland;Portugal;1102;997;23;2,09%;2,31%;2,32%;-0,23%
Norway;Portugal;1102;997;22;2,00%;2,21%;2,32%;-0,32%
Sweden;Portugal;1102;997;22;2,00%;2,21%;2,32%;-0,32%
Poland;Portugal;1044;997;22;2,11%;2,21%;2,46%;-0,35%
Georgia;Portugal;754;909;20;2,65%;2,20%;2,91%;-0,26%
Finland;Portugal;986;966;20;2,03%;2,07%;2,40%;-0,38%
Hungary;Portugal;812;923;19;2,34%;2,06%;2,74%;-0,40%
Slovenia;Portugal;1102;997;20;1,82%;2,01%;2,32%;-0,50%
UnitedKingdom;Portugal;1102;997;20;1,82%;2,01%;2,32%;-0,50%
Croatia;Portugal;986;997;20;2,03%;2,01%;2,59%;-0,56%
Slovakia;Portugal;232;100;2;0,86%;2,00%;1,04%;-0,18%
Denmark;Portugal;1044;984;19;1,82%;1,93%;2,37%;-0,55%
Malta;Portugal;1102;997;19;1,72%;1,91%;2,32%;-0,59%
Belarus;Portugal;986;966;17;1,72%;1,76%;2,40%;-0,68%
Macedonia;Portugal;986;966;17;1,72%;1,76%;2,40%;-0,68%
Australia;Portugal;406;797;14;3,45%;1,76%;4,71%;-1,26%
Azerbaijan;Portugal;754;966;16;2,12%;1,66%;3,10%;-0,97%
Cyprus;Portugal;986;979;15;1,52%;1,53%;2,48%;-0,95%
Albania;Portugal;986;966;14;1,42%;1,45%;2,40%;-0,98%
Moldova;Portugal;928;966;13;1,40%;1,35%;2,54%;-1,13%
Romania;Portugal;1044;979;13;1,25%;1,33%;2,35%;-1,10%
Greece;Portugal;1102;997;13;1,18%;1,30%;2,32%;-1,14%
Italy;Portugal;580;797;10;1,72%;1,26%;3,32%;-1,60%
Montenegro;Portugal;696;923;8;1,15%;0,87%;3,20%;-2,05%
Bulgaria;Portugal;696;966;7;1,01%;0,72%;3,34%;-2,34%
BosniaHerzegovina;Portugal;638;200;1;0,16%;0,50%;0,83%;-0,68%
Russia;Portugal;986;239;0;0,00%;0,00%;0,63%;-0,63%
Turkey;Portugal;638;200;0;0,00%;0,00%;0,83%;-0,83%
Luxembourg;Portugal;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Portugal;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Portugal;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Portugal;174;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia&Montenegro;Portugal;174;0;0;0,00%;-1,00%;0,00%;0,00%
Moldova;Romania;986;1263;149;15,11%;11,80%;3,13%;11,98%
Spain;Romania;1218;1450;128;10,51%;8,83%;3,10%;7,41%
Israel;Romania;1218;1450;90;7,39%;6,21%;3,10%;4,29%
Italy;Romania;638;602;35;5,49%;5,81%;2,29%;3,20%
Portugal;Romania;1044;1289;65;6,23%;5,04%;3,09%;3,14%
Azerbaijan;Romania;812;849;39;4,80%;4,59%;2,54%;2,27%
Cyprus;Romania;1160;1378;57;4,91%;4,14%;3,09%;1,82%
Ireland;Romania;1160;1379;54;4,66%;3,92%;3,04%;1,62%
Andorra;Romania;348;517;20;5,75%;3,87%;3,71%;2,03%
Greece;Romania;1160;1425;54;4,66%;3,79%;3,14%;1,51%
Malta;Romania;1218;1450;54;4,43%;3,72%;3,10%;1,33%
Austria;Romania;986;1031;38;3,85%;3,69%;2,76%;1,09%
Russia;Romania;1102;1168;39;3,54%;3,34%;2,79%;0,75%
Turkey;Romania;696;996;33;4,74%;3,31%;3,92%;0,82%
Australia;Romania;406;317;10;2,46%;3,16%;1,87%;0,59%
France;Romania;1218;1450;44;3,61%;3,03%;3,10%;0,51%
Macedonia;Romania;1160;1377;41;3,53%;2,98%;3,04%;0,49%
Norway;Romania;1160;1379;41;3,53%;2,97%;3,04%;0,49%
Hungary;Romania;870;929;26;2,99%;2,80%;2,59%;0,40%
Belgium;Romania;1218;1450;38;3,12%;2,62%;3,10%;0,02%
Poland;Romania;986;1218;31;3,14%;2,55%;3,10%;0,04%
Bulgaria;Romania;754;1156;29;3,85%;2,51%;3,71%;0,13%
Denmark;Romania;1160;1377;28;2,41%;2,03%;3,04%;-0,63%
Serbia&Montenegro;Romania;174;348;7;4,02%;2,01%;5,31%;-1,29%
Albania;Romania;1044;1281;24;2,30%;1,87%;3,02%;-0,72%
Sweden;Romania;1218;1450;26;2,14%;1,79%;3,10%;-0,97%
UnitedKingdom;Romania;1218;1450;25;2,05%;1,72%;3,10%;-1,05%
Iceland;Romania;1160;1379;23;1,98%;1,67%;3,04%;-1,06%
Montenegro;Romania;754;694;11;1,46%;1,59%;2,23%;-0,77%
Netherlands;Romania;1160;1379;20;1,72%;1,45%;3,04%;-1,32%
Croatia;Romania;1102;1343;19;1,72%;1,42%;3,18%;-1,45%
Serbia;Romania;812;861;12;1,48%;1,39%;2,55%;-1,07%
BosniaHerzegovina;Romania;638;971;13;2,04%;1,34%;4,04%;-2,01%
Czech;Romania;580;486;6;1,03%;1,24%;2,00%;-0,97%
Monaco;Romania;174;348;4;2,30%;1,15%;5,31%;-3,01%
Germany;Romania;1218;1450;16;1,31%;1,10%;3,10%;-1,79%
SanMarino;Romania;696;647;7;1,01%;1,08%;2,25%;-1,24%
Ukraine;Romania;928;1319;14;1,51%;1,06%;3,58%;-2,07%
Slovenia;Romania;1160;1425;14;1,21%;0,98%;3,14%;-1,94%
Latvia;Romania;1218;1450;14;1,15%;0,97%;3,10%;-1,95%
Estonia;Romania;1218;1450;11;0,90%;0,76%;3,10%;-2,20%
Armenia;Romania;870;1034;7;0,80%;0,68%;2,90%;-2,09%
Finland;Romania;1160;1377;9;0,78%;0,65%;3,04%;-2,27%
Switzerland;Romania;1160;1377;9;0,78%;0,65%;3,04%;-2,27%
Belarus;Romania;1044;1281;8;0,77%;0,62%;3,02%;-2,25%
Lithuania;Romania;1102;1352;7;0,64%;0,52%;3,08%;-2,45%
Slovakia;Romania;232;350;1;0,43%;0,29%;3,64%;-3,20%
Georgia;Romania;812;893;0;0,00%;0,00%;2,67%;-2,67%
Luxembourg;Romania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Romania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Romania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Belarus;Russia;1044;2795;166;15,90%;5,94%;6,58%;9,32%
Estonia;Russia;1276;3206;173;13,56%;5,40%;6,67%;6,89%
Armenia;Russia;870;2412;126;14,48%;5,22%;6,76%;7,72%
Latvia;Russia;1276;3206;164;12,85%;5,12%;6,67%;6,18%
Ukraine;Russia;928;2286;116;12,50%;5,07%;6,20%;6,30%
Azerbaijan;Russia;812;2216;103;12,68%;4,65%;6,62%;6,06%
Moldova;Russia;986;2728;126;12,78%;4,62%;6,76%;6,02%
Israel;Russia;1276;3206;134;10,50%;4,18%;6,67%;3,83%
Lithuania;Russia;1160;2887;119;10,26%;4,12%;6,39%;3,87%
Cyprus;Russia;1160;3080;116;10,00%;3,77%;6,91%;3,09%
Greece;Russia;1218;3051;105;8,62%;3,44%;6,54%;2,09%
Montenegro;Russia;754;2256;70;9,28%;3,10%;7,24%;2,04%
Czech;Russia;580;1734;51;8,79%;2,94%;7,14%;1,66%
Romania;Russia;1102;2678;77;6,99%;2,88%;6,40%;0,59%
Serbia;Russia;812;2334;67;8,25%;2,87%;6,91%;1,34%
Bulgaria;Russia;754;1966;54;7,16%;2,75%;6,31%;0,85%
Malta;Russia;1276;3206;85;6,66%;2,65%;6,67%;-0,01%
Germany;Russia;1276;3206;82;6,43%;2,56%;6,67%;-0,24%
Georgia;Russia;812;2332;59;7,27%;2,53%;6,97%;0,30%
Finland;Russia;1160;3005;74;6,38%;2,46%;6,64%;-0,26%
Turkey;Russia;754;1779;43;5,70%;2,42%;6,65%;-0,95%
Croatia;Russia;1160;2814;68;5,86%;2,42%;6,45%;-0,59%
SanMarino;Russia;696;2035;49;7,04%;2,41%;7,07%;-0,03%
Portugal;Russia;986;2331;53;5,38%;2,27%;6,11%;-0,73%
Ireland;Russia;1218;3151;66;5,42%;2,10%;6,75%;-1,33%
Spain;Russia;1276;3206;67;5,25%;2,09%;6,67%;-1,42%
Macedonia;Russia;1160;3005;62;5,35%;2,06%;6,64%;-1,30%
Hungary;Russia;870;2390;49;5,63%;2,05%;6,66%;-1,03%
Italy;Russia;638;1763;36;5,64%;2,04%;6,71%;-1,07%
Slovenia;Russia;1218;3051;59;4,84%;1,93%;6,54%;-1,69%
Albania;Russia;1044;2795;52;4,98%;1,86%;6,58%;-1,60%
Austria;Russia;986;2468;44;4,46%;1,78%;6,61%;-2,15%
Slovakia;Russia;232;517;9;3,88%;1,74%;5,37%;-1,49%
Sweden;Russia;1276;3206;54;4,23%;1,68%;6,67%;-2,44%
Poland;Russia;1044;2563;43;4,12%;1,68%;6,31%;-2,19%
Australia;Russia;406;1164;19;4,68%;1,63%;6,87%;-2,19%
Serbia&Montenegro;Russia;174;372;6;3,45%;1,61%;5,68%;-2,23%
Iceland;Russia;1218;3151;50;4,11%;1,59%;6,75%;-2,64%
Belgium;Russia;1218;3169;49;4,02%;1,55%;6,78%;-2,76%
Andorra;Russia;348;942;14;4,02%;1,49%;6,77%;-2,74%
France;Russia;1276;3206;47;3,68%;1,47%;6,67%;-2,99%
UnitedKingdom;Russia;1276;3206;45;3,53%;1,40%;6,67%;-3,14%
Denmark;Russia;1218;3042;42;3,45%;1,38%;6,53%;-3,08%
BosniaHerzegovina;Russia;812;2115;29;3,57%;1,37%;7,00%;-3,43%
Norway;Russia;1218;3151;40;3,28%;1,27%;6,75%;-3,47%
Netherlands;Russia;1218;3151;26;2,14%;0,83%;6,75%;-4,61%
Switzerland;Russia;1160;3005;18;1,55%;0,60%;6,64%;-5,09%
Monaco;Russia;174;372;0;0,00%;0,00%;5,68%;-5,68%
Luxembourg;Russia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Russia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Russia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Albania;SanMarino;812;91;13;1,60%;14,29%;0,27%;1,33%
Azerbaijan;SanMarino;812;91;13;1,60%;14,29%;0,27%;1,33%
Georgia;SanMarino;812;91;10;1,23%;10,99%;0,27%;0,96%
Hungary;SanMarino;812;91;10;1,23%;10,99%;0,27%;0,96%
Moldova;SanMarino;812;91;9;1,11%;9,89%;0,27%;0,84%
Macedonia;SanMarino;812;91;8;0,99%;8,79%;0,27%;0,71%
Montenegro;SanMarino;754;91;8;1,06%;8,79%;0,29%;0,77%
Greece;SanMarino;812;91;6;0,74%;6,59%;0,27%;0,47%
Russia;SanMarino;696;91;5;0,72%;5,50%;0,32%;0,40%
Armenia;SanMarino;754;91;3;0,40%;3,30%;0,29%;0,11%
Croatia;SanMarino;696;77;2;0,29%;2,60%;0,26%;0,02%
Serbia;SanMarino;754;77;1;0,13%;1,30%;0,24%;-0,11%
Belarus;SanMarino;812;91;1;0,12%;1,10%;0,27%;-0,15%
Iceland;SanMarino;812;91;1;0,12%;1,10%;0,27%;-0,15%
Malta;SanMarino;812;91;1;0,12%;1,10%;0,27%;-0,15%
Ukraine;SanMarino;638;14;0;0,00%;0,00%;0,05%;-0,05%
Cyprus;SanMarino;754;77;0;0,00%;0,00%;0,24%;-0,24%
Belgium;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Denmark;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Estonia;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Finland;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
France;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Germany;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Ireland;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Israel;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Latvia;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Lithuania;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Netherlands;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Norway;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Slovenia;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Spain;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Sweden;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Switzerland;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
UnitedKingdom;SanMarino;812;91;0;0,00%;0,00%;0,27%;-0,27%
Austria;SanMarino;754;91;0;0,00%;0,00%;0,29%;-0,29%
Italy;SanMarino;754;91;0;0,00%;0,00%;0,29%;-0,29%
Poland;SanMarino;696;91;0;0,00%;0,00%;0,31%;-0,31%
Romania;SanMarino;696;91;0;0,00%;0,00%;0,32%;-0,32%
Czech;SanMarino;580;77;0;0,00%;0,00%;0,32%;-0,32%
Portugal;SanMarino;638;91;0;0,00%;0,00%;0,34%;-0,34%
Australia;SanMarino;522;77;0;0,00%;0,00%;0,35%;-0,35%
Luxembourg;SanMarino;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;SanMarino;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;SanMarino;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;SanMarino;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;SanMarino;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Bulgaria;SanMarino;580;0;0;0,00%;-1,00%;0,00%;0,00%
BosniaHerzegovina;SanMarino;290;0;0;0,00%;-1,00%;0,00%;0,00%
Turkey;SanMarino;174;0;0;0,00%;-1,00%;0,00%;0,00%
Slovakia;SanMarino;116;0;0;0,00%;-1,00%;0,00%;0,00%
Andorra;SanMarino;58;0;0;0,00%;-1,00%;0,00%;0,00%
Montenegro;Serbia;812;1012;114;14,04%;11,26%;2,99%;11,05%
Macedonia;Serbia;928;1169;104;11,21%;8,90%;3,03%;8,18%
Slovenia;Serbia;928;1169;99;10,67%;8,47%;3,03%;7,64%
BosniaHerzegovina;Serbia;464;914;76;16,38%;8,32%;4,70%;11,68%
Croatia;Serbia;870;1116;88;10,11%;7,89%;3,07%;7,04%
Switzerland;Serbia;928;1169;86;9,27%;7,36%;3,03%;6,24%
Austria;Serbia;754;937;50;6,63%;5,34%;2,98%;3,65%
Bulgaria;Serbia;754;1027;34;4,51%;3,31%;3,26%;1,25%
France;Serbia;928;1169;34;3,66%;2,91%;3,03%;0,64%
Sweden;Serbia;928;1169;33;3,56%;2,82%;3,03%;0,53%
Norway;Serbia;928;1169;32;3,45%;2,74%;3,03%;0,42%
Germany;Serbia;928;1169;31;3,34%;2,65%;3,03%;0,32%
Netherlands;Serbia;928;1169;31;3,34%;2,65%;3,03%;0,32%
Poland;Serbia;812;955;25;3,08%;2,62%;2,82%;0,26%
Italy;Serbia;696;669;17;2,44%;2,54%;2,31%;0,14%
Czech;Serbia;696;798;17;2,44%;2,13%;2,74%;-0,29%
Hungary;Serbia;870;1097;23;2,64%;2,10%;3,02%;-0,37%
Romania;Serbia;812;1054;21;2,59%;1,99%;3,12%;-0,54%
Slovakia;Serbia;232;371;7;3,02%;1,89%;3,85%;-0,84%
SanMarino;Serbia;754;829;14;1,86%;1,69%;2,63%;-0,78%
Greece;Serbia;928;1169;19;2,05%;1,63%;3,03%;-0,98%
Australia;Serbia;522;370;6;1,15%;1,62%;1,70%;-0,55%
Albania;Serbia;928;1169;16;1,72%;1,37%;3,03%;-1,30%
Cyprus;Serbia;928;1169;16;1,72%;1,37%;3,03%;-1,30%
Finland;Serbia;928;1169;16;1,72%;1,37%;3,03%;-1,30%
Russia;Serbia;812;1169;16;1,97%;1,37%;3,46%;-1,49%
Azerbaijan;Serbia;870;901;12;1,38%;1,33%;2,49%;-1,11%
Iceland;Serbia;928;1169;14;1,51%;1,20%;3,03%;-1,52%
Malta;Serbia;928;1169;14;1,51%;1,20%;3,03%;-1,52%
Armenia;Serbia;870;955;11;1,26%;1,15%;2,64%;-1,38%
Belgium;Serbia;928;1169;12;1,29%;1,03%;3,03%;-1,73%
Portugal;Serbia;754;1054;10;1,33%;0,95%;3,35%;-2,02%
Lithuania;Serbia;928;1169;10;1,08%;0,86%;3,03%;-1,95%
Ukraine;Serbia;754;1027;8;1,06%;0,78%;3,26%;-2,19%
Moldova;Serbia;928;1169;9;0,97%;0,77%;3,03%;-2,06%
Belarus;Serbia;928;1169;8;0,86%;0,68%;3,03%;-2,16%
Denmark;Serbia;928;1169;6;0,65%;0,51%;3,03%;-2,38%
Georgia;Serbia;870;1169;6;0,69%;0,51%;3,23%;-2,54%
Israel;Serbia;928;1169;5;0,54%;0,43%;3,03%;-2,49%
Spain;Serbia;928;1169;5;0,54%;0,43%;3,03%;-2,49%
Estonia;Serbia;928;1169;4;0,43%;0,34%;3,03%;-2,60%
Ireland;Serbia;928;1169;4;0,43%;0,34%;3,03%;-2,60%
Latvia;Serbia;928;1169;3;0,32%;0,26%;3,03%;-2,70%
UnitedKingdom;Serbia;928;1169;3;0,32%;0,26%;3,03%;-2,70%
Turkey;Serbia;348;799;0;0,00%;0,00%;5,49%;-5,49%
Andorra;Serbia;174;428;0;0,00%;0,00%;5,81%;-5,81%
Luxembourg;Serbia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Serbia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Serbia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Serbia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Serbia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Croatia;Serbia&Montenegro;174;400;24;13,79%;6,00%;6,10%;7,69%
Switzerland;Serbia&Montenegro;174;400;24;13,79%;6,00%;6,10%;7,69%
Austria;Serbia&Montenegro;116;400;24;20,69%;6,00%;9,20%;11,50%
BosniaHerzegovina;Serbia&Montenegro;174;400;22;12,64%;5,50%;6,10%;6,54%
Slovenia;Serbia&Montenegro;174;400;22;12,64%;5,50%;6,10%;6,54%
Cyprus;Serbia&Montenegro;174;400;20;11,49%;5,00%;6,10%;5,39%
Macedonia;Serbia&Montenegro;174;400;20;11,49%;5,00%;6,10%;5,39%
France;Serbia&Montenegro;174;400;16;9,20%;4,00%;6,10%;3,09%
Russia;Serbia&Montenegro;174;400;16;9,20%;4,00%;6,10%;3,09%
Sweden;Serbia&Montenegro;174;400;16;9,20%;4,00%;6,10%;3,09%
Ukraine;Serbia&Montenegro;174;400;15;8,62%;3,75%;6,10%;2,52%
Greece;Serbia&Montenegro;174;400;14;8,05%;3,50%;6,10%;1,94%
Netherlands;Serbia&Montenegro;174;400;14;8,05%;3,50%;6,10%;1,94%
Romania;Serbia&Montenegro;174;400;14;8,05%;3,50%;6,10%;1,94%
Albania;Serbia&Montenegro;174;400;13;7,47%;3,25%;6,10%;1,37%
Germany;Serbia&Montenegro;174;400;13;7,47%;3,25%;6,10%;1,37%
Bulgaria;Serbia&Montenegro;116;137;4;3,45%;2,92%;3,07%;0,38%
Belarus;Serbia&Montenegro;174;400;10;5,75%;2,50%;6,10%;-0,36%
Finland;Serbia&Montenegro;174;400;10;5,75%;2,50%;6,10%;-0,36%
Turkey;Serbia&Montenegro;174;400;8;4,60%;2,00%;6,10%;-1,51%
Denmark;Serbia&Montenegro;174;400;7;4,02%;1,75%;6,10%;-2,08%
Iceland;Serbia&Montenegro;174;400;7;4,02%;1,75%;6,10%;-2,08%
Israel;Serbia&Montenegro;174;400;7;4,02%;1,75%;6,10%;-2,08%
Monaco;Serbia&Montenegro;174;400;7;4,02%;1,75%;6,10%;-2,08%
Portugal;Serbia&Montenegro;174;400;7;4,02%;1,75%;6,10%;-2,08%
Latvia;Serbia&Montenegro;174;400;6;3,45%;1,50%;6,10%;-2,66%
Malta;Serbia&Montenegro;174;400;6;3,45%;1,50%;6,10%;-2,66%
Norway;Serbia&Montenegro;174;400;6;3,45%;1,50%;6,10%;-2,66%
Spain;Serbia&Montenegro;174;400;6;3,45%;1,50%;6,10%;-2,66%
Hungary;Serbia&Montenegro;58;137;2;3,45%;1,46%;6,06%;-2,61%
Poland;Serbia&Montenegro;174;400;5;2,87%;1,25%;6,10%;-3,23%
Belgium;Serbia&Montenegro;174;400;3;1,72%;0,75%;6,10%;-4,38%
Ireland;Serbia&Montenegro;174;400;3;1,72%;0,75%;6,10%;-4,38%
UnitedKingdom;Serbia&Montenegro;174;400;3;1,72%;0,75%;6,10%;-4,38%
Moldova;Serbia&Montenegro;116;137;1;0,86%;0,73%;3,07%;-2,21%
Andorra;Serbia&Montenegro;174;400;2;1,15%;0,50%;6,10%;-4,95%
Lithuania;Serbia&Montenegro;174;400;2;1,15%;0,50%;6,10%;-4,95%
Estonia;Serbia&Montenegro;174;400;1;0,57%;0,25%;6,10%;-5,53%
Australia;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Azerbaijan;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Czech;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Georgia;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Italy;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Luxembourg;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Montenegro;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
SanMarino;Serbia&Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
